  release  -  production
2019-09-02 - 2025-01-23  🏷️ DT00000915044__1  - mbom 2019-09-12, 1h - wi 2025-01-03, 40h - routing 2025-01-18, 2h
2019-09-02 - 2025-01-23  🏷️ DT00000915044__2  - mbom 2019-09-12, 1h - wi 2025-01-03, 40h - routing 2025-01-18, 2h
2019-09-02 - 2025-01-23  🏷️ DT00000915044__3  - mbom 2019-09-12, 1h - wi 2025-01-03, 40h - routing 2025-01-18, 2h
2021-04-02 - 2025-04-23  🏷️ GL00000666224__1  - mbom 2021-04-12, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2021-04-02 - 2025-04-23  🏷️ GL00000666224__2  - mbom 2021-04-12, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2021-04-02 - 2025-04-23  🏷️ GL00000666224__3  - mbom 2021-04-12, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2021-10-21 - 2025-04-23  🏷️ DT00001044108__1  - mbom 2021-10-31, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2021-10-21 - 2025-04-23  🏷️ DT00001044108__2  - mbom 2021-10-31, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2021-10-21 - 2025-04-23  🏷️ DT00001044108__3  - mbom 2021-10-31, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2021-11-23 - 2025-02-23  🏷️ GL00000650054__1  - mbom 2021-12-03, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2021-11-23 - 2025-02-23  🏷️ GL00000650054__2  - mbom 2021-12-03, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2021-11-23 - 2025-02-23  🏷️ GL00000650054__3  - mbom 2021-12-03, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2021-12-15 - 2025-04-23  🏷️ GL00000778488__1  - mbom 2021-12-25, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2021-12-15 - 2025-04-23  🏷️ GL00000778488__2  - mbom 2021-12-25, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2021-12-15 - 2025-04-23  🏷️ GL00000778488__3  - mbom 2021-12-25, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2021-12-21 - 2025-02-23  🏷️ DT00000915088__1  - mbom 2021-12-31, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2021-12-21 - 2025-02-23  🏷️ DT00000915088__2  - mbom 2021-12-31, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2021-12-21 - 2025-02-23  🏷️ DT00000915088__3  - mbom 2021-12-31, 1h - wi 2025-02-03, 40h - routing 2025-02-18, 2h
2021-12-21 - 2025-03-25  🏷️ GL00000355669__1  - mbom 2021-12-31, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2021-12-21 - 2025-03-25  🏷️ GL00000355669__2  - mbom 2021-12-31, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2021-12-21 - 2025-03-25  🏷️ GL00000355669__3  - mbom 2021-12-31, 1h - wi 2025-03-05, 40h - routing 2025-03-20, 2h
2021-12-21 - 2025-04-23  🏷️ GL00000969977__1  - mbom 2021-12-31, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
2021-12-21 - 2025-04-23  🏷️ GL00000969977__2  - mbom 2021-12-31, 1h - wi 2025-04-03, 40h - routing 2025-04-18, 2h
